13155955383	tgrp-esp-mad-0001	ASBCMiamiBRMiamiTIC	AS5	TMM
13155955384	tgrp-esp-mad-0001	ASBCMiamiBRMiamiTIC	AS5	TMM
13155955386	tgrp-esp-mad-0001	ASBCMiamiBRMiamiTIC	AS5	TMM
13155955378	tgrp-esp-mad-0001	ASBCMiamiBRMiamiTIC	AS5	TMM
13155955380	tgrp-esp-mad-0001	ASBCLondonFrankfurt	AS	DATORA
13155955385	tgrp-esp-mad-0001	ASBCLondonFrankfurt	AS	DATORA
13155955382	tgrp-esp-mad-0001	ASBCLondonFrankfurt	AS	DATORA
13155955377	tgrp-esp-mad-0001	ASBCLondonFrankfurt	AS	DATORA
13155955379	tgrp-esp-mad-0001	ASBCMiamiBRMiamiTIC	AS5	TMM
13155955381	tgrp-esp-mad-0001	ASBCMiamiBRMiamiTIC	AS5	TMM
